cgpa,amount,year,backlogs,category,submission_date,eligible,on_time,required,steps_done,source,occurred_at
8.6,0,4,0,general,2026-09-02,true,true,,NODE-ELIGIBILITY;NODE-DEPT-APPROVAL;NODE-SUBMIT,runtime-log,2026-09-02T10:00:00Z
6.2,0,2,1,general,2026-09-03,false,true,,NODE-ELIGIBILITY;NODE-SUBMIT,runtime-log,2026-09-03T10:00:00Z
7.5,0,3,0,general,2026-09-04,true,true,upload_recommendation,NODE-ELIGIBILITY;NODE-REC-UPLOAD;NODE-DEPT-APPROVAL;NODE-SUBMIT,runtime-log,2026-09-04T10:00:00Z
7.8,0,3,0,general,2026-09-05,true,true,upload_recommendation,NODE-ELIGIBILITY;NODE-REC-UPLOAD;NODE-DEPT-APPROVAL;NODE-SUBMIT,runtime-log,2026-09-05T10:00:00Z
8.2,0,4,0,general,2026-09-06,true,true,,NODE-ELIGIBILITY;NODE-DEPT-APPROVAL;NODE-SUBMIT,runtime-log,2026-09-06T10:00:00Z
7.4,0,1,2,obc,2026-09-07,false,true,,NODE-ELIGIBILITY;NODE-SUBMIT,runtime-log,2026-09-07T10:00:00Z
9.1,0,4,0,staff,2026-09-08,true,true,,NODE-ELIGIBILITY;NODE-DEPT-APPROVAL;NODE-SUBMIT,runtime-log,2026-09-08T10:00:00Z
7.9,0,3,0,general,2025-11-20,true,true,upload_recommendation,NODE-ELIGIBILITY;NODE-REC-UPLOAD;NODE-DEPT-APPROVAL;NODE-SUBMIT,runtime-log,2025-11-20T10:00:00Z
8.0,0,2,0,general,2026-09-09,true,false,,NODE-ELIGIBILITY;NODE-DEPT-APPROVAL;NODE-SUBMIT,runtime-log,2026-09-09T10:00:00Z
7.1,0,3,0,general,2026-09-10,false,true,,NODE-ELIGIBILITY;NODE-SUBMIT,runtime-log,2026-09-10T10:00:00Z
7.8,0,3,0,general,2026-09-05,true,true,upload_recommendation,NODE-ELIGIBILITY;NODE-REC-UPLOAD;NODE-DEPT-APPROVAL;NODE-SUBMIT,runtime-log,2026-09-05T10:00:00Z
